序号,投资者账号,投资者,报单编号,本地报单编号,交易所,合约代码,合约名称,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间,成交时间(日),手续费,平仓盈亏,平仓盈亏(逐笔),类型,时态,策略编号,备注,MEMO,策略名称,类别,下单用户,撤单用户,IP地址,MAC,委托终端,前置ID,会话ID,营业部,营业部订单编号
18,88867197,点钢投资点睿5号,135558526,000000000170,DCE,jm2609,焦煤2609,    卖,平仓,1268.5,3,全部成交,1271.00,3,0,0,14:25:59,,14:25:59,20260429 14:25:59,22.92,990.00,150.00,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
17,88867197,点钢投资点睿5号,135196793,000000000162,DCE,pp2609,聚丙烯2609,    卖,平仓,8727,4,全部成交,8732.0,4,0,0,14:21:59,,14:21:59,20260429 14:21:59,4.05,245.00,245.00,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
16,88867197,点钢投资点睿5号,63242741,000000000154,SHFE,hc2610,热轧卷板2610,买,开仓,3403,4,全部成交,3403.0,4,0,0,14:15:05,,14:15:05,20260429 14:15:05,13.66,--,--,投机,GFD,Python[P3],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
15,88867197,点钢投资点睿5号,134509475,000000000138,DCE,jm2609,焦煤2609,买,开仓,1276.0,3,全部成交,1276.00,3,0,0,14:15:00,,14:15:05,20260429 14:15:05,23.01,--,--,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
14,88867197,点钢投资点睿5号,63226652,000000000130,SHFE,hc2610,热轧卷板2610,买,开仓,3401,4,撤单,,0,4,0,14:15:00,14:15:06,, ,--,--,--,投机,GFD,Python[P3],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\HC_Long_1H_V8_Donchian_ADX_Fil,,热卷 H1 做多 — 新标准版 (自管持仓 + 全 UI + 全日志).-hc,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
13,88867197,点钢投资点睿5号,131510484,000000000122,DCE,p2609,棕榈油2609,    卖,平仓,9729,2,全部成交,9739.0,2,0,0,13:43:59,,13:43:59,20260429 13:43:59,5.03,350.00,400.00,投机,GFD,Python[P6],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
12,88867197,点钢投资点睿5号,128393913,000000000114,DCE,pp2609,聚丙烯2609,买,开仓,8710,4,全部成交,8710.0,4,0,0,11:15:00,,11:15:05,20260429 11:15:05,4.05,--,--,投机,GFD,Python[P5],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\PP_Long_1H_V13_Donchian_MFI.py,,聚丙烯 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-pp,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
11,88867197,点钢投资点睿5号,128393865,000000000106,DCE,p2609,棕榈油2609,买,开仓,9724,2,全部成交,9724.0,2,0,0,11:15:00,,11:15:00,20260429 11:15:00,5.03,--,--,投机,GFD,Python[P6],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\P_Long_1H_V13_Donchian_MFI.py,,棕榈油 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-p,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
10,88867197,点钢投资点睿5号,123842405,000000000098,DCE,jm2609,焦煤2609,    卖,平仓,1266.5,1,全部成交,1269.00,1,0,0,10:33:59,,10:33:59,20260429 10:33:59,7.63,270.00,-690.00,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
9,88867197,点钢投资点睿5号,121410213,000000000090,DCE,jm2609,焦煤2609,买,开仓,1267.5,1,全部成交,1267.50,1,0,0,10:00:00,,10:00:03,20260429 10:00:03,7.62,--,--,投机,GFD,Python[P4],C:\Users\Administrator\AppData\Roaming\InfiniTrader_QhDongzhengPythonX64\pyStrategy\self_strategy\JM_Long_1H_V13_Donchian_MFI.py,,焦煤 H1 做多 — Donchian + MFI (QBase_v3 V13) 新标准版.-jm,普通,88867197,,106.39.129.230,E0:BE:03:1A:80:DA,InfiniV8_1,11,974916185,,
